report,part failure
"ON APRIL 12TH, IN FLIGHT UC-1407 SCHEDULED ON THE ROUTE MIA TO VCP AT CRUISE LEVEL, A DIFFERENCE OF 400 KILOS WAS DETECTED BETWEEN THE TOTALIZED AND CALCULATED FUEL, AND ALSO A DIFFERENCE OF 300 KILOS WAS FOUND COMPARED WITH THE FUEL ESTABLISHED IN THE FLIGHT PLAN. AFTER THIS, THE CREW MONITORS FUEL CONSUMPTION AND NOTES THAT THERE WAS AN IMBALANCE IN THE QUANTITY IN THE TANKS AND ABNORMAL CONSUMPTION. CONFIRMING THE PREVIOUS SITUATION, ANALYZING THE METEOROLOGICAL CONDITIONS AND APPLYING YOUR QRH; THEY MAKE THE DECISION TO DIVERT THE FLIGHT TO THE BSB STATION TO MANAGE THE REPORT OF THE FAILURE.  . IT WAS REPORTED IN THE MAINTENANCE LOG BOOK ?ENGINE FUEL LEAK?, THE TECHNICIAN PERFORMS A VISUAL CHECK FOR LEAKS ",ENGINE MALFUNCTIONED
"FLIGHT L7-1803 SCHEDULED ON THE ROUTE, DURING TAKEOFF AND ASCENT, THERE WAS LOUD NOISE IN THE CABIN AND INDICATION OF HIGH PRESSURE CAUSED BY THE PACK ONCE THE BLEED SYSTEM WAS CONFIGURED.   THE IMAGE WAS DISTORTED ON THE LEFT EADI SCREEN,  CONFIRMING THE ABOVE SITUATION, ANALYZING THE WEATHER CONDITIONS AND APPLYING THEIR QRH; THE CREW TOOK THE DECISION TO RETURN THE FLIGHT TO STATION TO MANAGE THE FAILURE. ON THE APPROACH THEY ARE SHOWING TCAS FAIL ON THE LEFT EHSI AND THE WEATHER RADAR IS LOST WITHOUT RADAR FAILURE ANNOUNCEMENT. DURING THE DESCENT THE INSTRUMENTS RETURNED TO OPERATING NORMALLY.   DURING DESCENT FMC MSN SPLIT IRS OPERATION ON SCRATCH PAD AND SAME NOISE OF LOOSE OBJECTS HITTING BEHIND THE INST",UNKNOWN UNKNOWN
"ON SEPTEMBER 7TH, DURING THE DESCENT AND LANDING OF THE AIRCRAFT N418LA THAT WAS CARRYING OUT MIA-BOG ROUTE (L7-1806), THE CREW FELT A STRONG RESPONSE FROM THE AIRCRAFT TO PITCH UP AND LATER A BOUNCE LANDING, A CIRCUMSTANCE UNDER WHICH THE CREW TOOK THE DECISION TO ABORT LANDING AND GO AROUND. THEY AGAIN MAKE THE APPROACH AND LANDING IN BOG WITH THE CONTROLLED PARAMETERS; ONCE ON THE GROUND, THE CREW TOGETHER WITH MAINTENANCE  PROCEED TO CARRY OUT AN EXTERNAL INSPECTION OF THE AIRCRAFT IN WHICH IT CONFIRMS, THAT THE TAIL SKID OF THE AIRCRAFT IS SCRATCHED (LOSS OF RED PAINT); THE STRUCTURE OF THE AIRCRAFT'S TAIL WAS FOUND TO BE IN NORMAL CONDITION.",FLT CONTROLS UNKNOWN
"DURING CLIMB FROM FL310 TO FL330, THERE IS A SUDDEN LOSS OF N1 AND STRONG VIBRATION ON THE RIGHT ENGINE. THEREFORE, THE CREW CONSIDERS SEVERE DAMAGE; THE CREW SHUTS DOWN THE ENGINE, DECLARES AN EMERGENCY (MAYDAY) AND OPTS TO LAND IN KINGSTON. (JAMAICA). THE LANDING WAS OVERWEIGHT WITH 168,300 KG. AT THE PARKING POSITION, IT IS EVIDENT THAT THE RIGHT ENGINE HAS DAMAGE IN THE FAN-BLADES AND ADDITIONALLY THE TIRES NO 4 AND 5 WERE FLAT. MAINTENANCE PERSONNEL SPECIALIZED IN ENGINE REPLACEMENT TRAVELED FROM MIAMI TO KINGSTON, AS WELL AS THE PARTS, TOOLS AND MATERIALS REQUIRED FOR THE REPLACEMENT.THE EVENT IS THE SUBJECT TO AN INTERNAL INVESTIGATION, IN ORDER TO DETERMINE THE CAUSES",ZONE 400 FRACTURED
"AIRCRAFT EXPERIENCED A LOSS OF CABIN PRESSURE WHILE CLIMBING AT 30,000. AN EMERGENCY WAS DECLARED AND THE AIRCRAFT RETURNED TO CRQ. MAINTENANCE VENDOR TROUBLESHOT THE PRESSURIZATION ISSUE TO A FAULTY PRESSURIZATION CONTROLLER (52770-116). THE CONTROLLER WAS REPLACED WITH AN OVERHAULED UNIT. A MAINTENANCE CONFIDENCE FLIGHT WILL BE PERFORMED IN ACCORDANCE WITH LATITUDE 33 GMM SECTION 6.25 BEFORE THE AIRCRAFT RESUMES PASSENGER OPERATIONS.",CABIN PRESSURE FAULTED
"DURING REMOVAL OF THE LH MLG ACTUATOR FOUND THE LH MAIN LANDING GEAR TRUNNION ASSEMBLY PN 6641501-7, CORRODED AT THE MAIN LANDING GEAR SIDEBRACE ATTACH PIN PN 6641623-1.  THE NAS6304-36D BOLT SECURING THE SIDEBRACE ATTACH PIN WAS SEIZED AND UNABLE TO REMOVE.  THE LH MAIN LANDING GEAR DOOR ATTACH FITTING PN 6641625-3 AND ADJACENT SURFACE OF THE TRUNNION COMMON TO THE SIDEBRACE ATTACH PIN WAS CORRODED.",ZONE 500 CORRODED
"THE SCREEN ON OUTERLINK DIALER (SATELLITE RADIO) FROZE, THE PILOT COULD NOT COMMUNICATE OR CHANGE CHANNELS ON THE DIALER.",SATELLITE RADIO INOPERATIVE
"DURING ADVERSE WEATHER LOST MULTIPLE NAV GUIDANCE INSTRUMENTS, AUTO THROTLE AND AUTO PILOT, DECLARED EMERGENCY DIVERTED TO KIAH. UPON LANDING EVERTHING RETORNED TO NORMAL.",COCKPIT MULTIPLE FAIL
"CREW REPORTED FUEL SMELL IN THE CABIN, FOUND SEEPING O-RING AT AUX TANK BLANKING PLATE.",FUEL CELL LEAKING
"ON TAKE-OFF RUDDER FULL DEFLECTION AFTER TRIMMING, CONTINUED ACTUATING RUDDER INPUTS-NOT BY HUMAN INTERACTION. AFFECTED AILERON EFFICIENCY. REMOVED AND REPLACED RUDDER BIAS VALVE. OPS CK GOOD REF MM 27-20-01",RUDDER BIAS LEAKING
"AS THE THROTTLES WERE DECREASED, THE RIGHT ENGINE N1 CONTINUED DECREASING AT A STEADY SLOW RATE UNTIL CUTOFF.REMOVED AND REPLACED THE RIGHT FUEL DELIVERY UNIT. OPS CK LEAK CHECK GOOD REF F544-31 MM 73-19-01",RT ENGINE FAILED
"LH MLG DID NOT DEPLOY AND LOCK. LH MLG LITE DID NOT EXT. CYCLED GEAR 3 TIMES. CAME DOWN AND LOCKED ON 4TH TIME. NORMAL LANDING. R/R LH MLG ACTUATOR DOWNLOCK SWITCH, OPS CK GOOD.",LT MLG FAILED
"#2 ENG SLOWLY ROLLED BACK ON DESCENT UNTIL NIL, COULD NOT RESTART. T/S AND REPLACED FDU. OPS CHECK SATISFACTORY.",ZONE 400 ABNORMAL
LH MAIN TIRE FLAT. BLEW OUT ON TAXI,ZONE 700 BLEW OUT
ANTI-SKID LIGHT ILLUMINATED DURING FLIGHT. MAINTENANCE HAS FOUND LANDING GEAR HARNESS DAMAGED FROM BEING MISROUTED AND RUBBING ON TIRE.,ZONE 700 DAMAGED
"PITCH TRIM TRAVELS IN OPPOSITE DIRECTION. WHEN CB IS PULLED, MANUAL TRIM TRAVELS .. MOVES OPPOSITE DIRECTION ON POST FIT WITH AP ON, TRIM MOVES IN CORRECT DIRECTION.                                                        CONFIRMED CREWS DISCREPANCY, RESEARCHED PREVIOUS MAINTENANCE, FOUND ANOTHER VENDOR COMPLIED WITH REMOVAL AND INSTALLATION OF THE UH AND R/H ELEVATOR TRIM ACTUATORS ALONG WITH SOME OTHER DOC INSPECTIONS, FLY EXCLUSIVE PROVIDED MAINTENANCE DOCS PERFROMED BY PREVIOUS VENDOR. UPON TROUBLE SHOOTING THE ELEVTOR TRIM SYSTEM THE AFT TRIM CABLES IN BAGGAGE OVERHEAD WERE SWAPPED L/H TO R/H CONTROLLING THE ELEVATOR TRIM ACTUATORS. COMPLIED WITH PROPER POSITIONING OF THE CABLES, PERFORMED RIGGING PER THE",PITCH TRIM MISINSTALLED
LT ENGINE OIL ON TAKE OFF WENT TO ZERO.  PRECAUTIONARY SHUTDOWN.  SMOKE IN COCKPIT.  LANDING UNEVENTFUL.  THIS IS THE SECOND TIME THIS HAS HAPPENED WITH THIS ENGINE.  BACK ON 11/11/2020.  MAINTENANCE DISCUSSED WITH PW ENGINE MANUFACTURE AND IT WAS RECOMMENDED TO REPLACE ENGINE.  ENGINE IS BEING REMOVED AND SENT OUT FOR INVESTIGATION AND REPAIR.  ONCE TEAR DOWN IS AVAILABLE WILL UPDATE SDR.,LT ENGINE EMPTY
CAPTAINS SIDE WINDOW SHATTERED ON CLIMB OUT. R/R LH HEATED SIDE WINDOW IAW CE560 AMM 56-12-00. LEAK CHECK GOOD.,COCKPIT LT FAILED
WHEN GEAR SELECTED DOWN AND EXTENDED AND LOCKED AND CASS MESSAGE ANTI SKID FAILED ILLUMINATED. REPLACED RH MLG HARNESS. OPS CK GOOD,RT MLG FAILED
"WHILE INFLIGHT AT 34,000FT, PILOTS WINDSHIELD CRACKED. AIRCRAFT DESCENDED TO NORMAL LANDING IN SRQ. SUSPECT HEAT CONTROLLER TO BE THE CAUSE OF THE WINDSHIELD CRACKING.",WINDOW HEAT MALFUNCTIONED
"AT CRUISE, L/H WINDSHIELD CRACKED. WINDSHIELD HAD 8.1 HOURS AND 4 LANDINGS SINCE INSTALLED IN NEW CONDITION. AIRCRAFT DESCENDED AND DIVERTED TO BNA. MAINTENANCE REPLACED L/H WINDSHIELD WITH NEW, P/N 6656100000-003, OPS CHECK GOOD.","WINDSHIELD, L/H CRACKED"
DURING GROUND OPERATION PRIOR TO TAXI THE AIR-CONDITIONING FAILED AND AN ODOR WAS OBSERVED IN THE CABIN. THE AIR-CONDITIONING WAS SELECTED OFF THE AIRCRAFT WAS SWAPPED WITH ANOTHER AIRCRAFT FOR THE FLIGHT. THE COMPRESSOR DRIVE MOTOR WAS FOUND TO BE OVERHEATED AND WOULD NOT TURN ELECTRICALLY.,ACM OVERHEATED
AFTER TAKEOFF CREW REPORTED THAT THE AIRCRAFT WAS NOT PRESSURIZING.  PIC RETURNED TO AIRPORT AND LANDED WITH NO PROBLEMS.,COCKPIT INOPERATIVE
"DURING A ROUTINE TRAINING FLIGHT THE LEFT ENGINE WAS SHUTDOWN PER AFM PROCEDURES.  THE LEFT BUS CURRENT LIMITER FAILED OPEN AT SOME POINT, RESULTING IN LOSS OF LEFT BUS POWER AND THE INABILITY TO RESTART THE ENGINE DUE TO NO POWER ON THE LEFT BUS.  THE CREW DECLARED AN EMERGENCY AND LANDED WITHOUT INCIDENT AT THE NEAREST AIRPORT.  THE AIRCRAFT WIRING WAS INSPECTED AND NO DISCREPANCIES WERE NOTED, THE OPEN CURRENT LIMITER WAS REPLACED WITH NEW.  THE GCU WAS REPLACED FOR BEING SUSPECTED OF NOT OPENING THE LINE CONTACTOR AFTER THE STARTER GENERATOR COULD NOT DEVELOP APPROPRIATE VOLTAGE AS THE ENGINE ROTATIONAL SPEED REDUCED BELOW IDLE SPEED.  THE NEWLY INSTALLED GCU WAS ADJUSTED AND PARALLELED IAW THE C441 MM.  AD",LEFT UNKNOWN
"RT ENGINE TQ, EGT, AND FF OSCILLATIONS.  DECLARED EMERGENCY AND RETURNED TO BASE WITHOUT INCIDENT.  MX FOUND CHAFFING WIRES AT EGT COMPENSATOR CONNECTOR.  REPAIRED WIRING, PERFORMED GROUND RUNS FOR PERFORMANCE WITH NO DEFECTS AND RETURNED AIRCRAFT TO SERVICE.",EGT COMPENSATOR SHORTED
"DURING TAXI-OUT FROM BASE, CAPT. NOTED SMOKE EMITTING FROM LIGHT SWITCH AREA AT THE LOWER LH CONSOLE.  THEY TAXIIED BACK HOME BASE UNEVENTFULLY AND HANDED OVER THE AIRCRAFT TO MAINTENANCE.  IT WAS IMMEDIATELY APPARENT THAT THE RH STROBE LIGHT CIRCUIT BREAKER SWITCH DID NOT SHUT THE STROBE LIGHTS OFF WHEN ACTUATED WITH THE BATTERY ON.  BATTERIES WERE DISCONNECTED AND AN INSPECTION OF THE RH STROBE LIGHT SYSTEM WAS CONDUCTED.  SEVERAL WIRES ALONG THE LENGTH OF THE CIRCUIT WERE DARK WITH A BURNT SMELL, AND A CHAFE TO GROUND WAS NOTED AT THE WINGTIP CONNECTOR TO THE STROBE LIGHTS. THE CB SWITCH WAS SLIGHTLY BULGED FROM OVERHEATING WITH A BURNT SMELL.  NO OTHER SYSTEMS WERE MALFUNCTIONING, AND THE AFFECTED WIRES DID",COCKPIT FAILED
"ENGINE #2 FIRE INDICATION IN FLIGHT DURING DESCENT. SHUT ENGINE DOWN AND USED BOTTLE A. UPON INSPECTION/TESTING, FOUND THAT THE FIRE CONTROL MODULE HAD FAILED. FIRE MODULE CONTROL UNIT WAS REMOVED AND REPLACED AND THE SYSTEM WAS OPS CHECKED GOOD. THE FIRE BOTTLE WAS ALSO REMOVED AND REPLACED DUE TO BEING USED.",FIRE DETECTION FAILED
RECEIVED A GEN NR 4 BRG FAIL EICAS MESSAGE DURING BUR-EUG REPO LEG.  REMOVED AND REPLACED NR 4 GENERATOR OPS TEST GOOD.,NR 4 FAILED
"""BLD 2 LEAK"" WARNING MESSAGE ON EICAS, RED ""LEAK"" LIGHT ON BLEED 2 AIR CONDITIONING/PNEUMATIC PANEL IN FLIGHT AT 16000FT.  ""BLEED 1 LEAK"" ON GROUND AFTER ENG SHUTDOWN WHILE ON APU BLEED.",APU DETERIORATED
"HAD 3 EACH SINGLE SEAT PN 41042002-109 SN 03396,03397 & 03393 CRACKED ON SEAT FRAME BELOW AISLE ARMREST",CABIN CRACKED
HAD 1 EACH SINGLE SEAT PN 41042002-101 SN 02938 CRACKED SEAT FRAME UNDER AISLE ARMREST,CABIN CRACKED
HAD 1 EACH SINGLE SEAT PN 41042002-109 SN 03893 AND 1 EACH SINGLE SEAT PN 41042002-111 SN 03569 CRACKED ON THEIR AISLE SEAT FRAMES UNDER THE AISLE ARMREST.,CABIN CRACKED
"BLEED 2 FAIL ON CLIMBOUT PASSING 7000FT.  R&R'D O-RINGS @ GAMMA CLAMPS #9, #15, #16 & #17 LEAK AND OPS TEST GOOD",PNEUMATIC SYSTEM DETERIORATED
13000FT 20MINUTES INTO FLIGHT WAS NOT PRESSURING RETURNED TO AIRPORT.  DISCOVERED WINDSHIELD SCREWS LEAKING LOWER CORNER WINDSHIELD JUNCTION RETORQUED HARDWARE PERFORMED AUTO/MANUAL PRESSURIZATION CHECK NO DEFECTS NOTED.,COCKPIT LEAKING
E1 FUEL IMPENDING BYPASS MESSAGE ENROUTE RNO. QRH CONSULTED DIVERTED BACK TO BUR. R&R'D FILTER E1 RESET IMP BYPASS INDICATOR LEAK AND OPS TEST GOOD,FUEL SYSTEM DIRTY
DISC: AFTER TAKEOFF CABIN ALT PRESSURE WAS AMBER AND ROSE WITH THE AIRCRAFT. IT LEAKED AT ABOUT 9800FT AND THE AIRCRAFT ALTITUDE WAS APPROX 11.3FT. THAT DESCENDED BACK TO 10000FT AND THE CABIN ALT HELD WITHIN 200FT WHATEVER ALT THEY WERE AT. CORR ACTION: COMPLETED PRESSURIZATION CHECK OPS TESTED GOOD ON THE GROUND. ON 6/3 HAD ANOTHER ISSUE PRESSURIZING ON THE GROUND FOUND AC GROUND CONNECTION FLAPPER STICKING OPEN DUE TO BROKEN HINGE. R&R'D FLAPPER VALVE.,FLAPPER VALVE BROKEN
"AFTER TAKEOFF CAB ALT PRESSURE WAS AMBER AND ROSE WITH THE AIRCRAFT. IT LEAKED AT ABOUT 9800 FT AND THE AIRCRAFT ALTITUDE WAS APPROX 11.3. WE DESCENDED BACK TO 10000 AND THE CAB ALT HELD WITHIN 200 FT WHATEVER ALT THEY WERE AT.   COMPLETED EMB 135 AMM 21-31-00 PRESSURIAZITION CONTROL TEST OPS CHECK GOOD. ON 6/3/21 FOUND GROUND CONNECTION FLAPPER VALVE STICKING OPEN (BROKEN HINGE AND BROKEN SPRING). REMOVED SERVICEABLE FLAPPER VALVE FROM N246JX AND INSTALLED IT ON N260JX.  PRESSURIZATION OPERATIONAL CHECKED GOOD.  ALL WORK DONE IAW: EMB135 AMM 21-31-00 AND 21-22-04, 25-21-01, 53-01-02.",OUTFLOW VALVE BROKEN
"DISC: ERRONEOUS FUEL INDICATION, TAKE OFF WAS 9200LBS PASSING THROUGH 4000FT ?FUEL IMBALANCE? EICAS AND IT SHOWED 10200LBS TOTAL. 5500 LEFT WING 4600 RIGHT WING. CORRECTIVE ACTION: CHECKED ELECTRICAL FUEL INDICATING SYSTEM AND TRANSFERRED FUEL FROM WING TO WING. ""FUEL IMBALANCE"" EICAS MESSAGE CAME ON AT 800 LBS DIFFERENCE AND WENT OUT AT 80 LB DIFFERENCE.  LEVELED OUT FUEL AND DIPPED BOTH TANKS. BOTH TANKS DIPPED THE SAME QUANTITY. REF: EMB 135 AMM 28-41-00. COULD NOT SEE ANY IMBALANCE ISSUE AT THIS TIME.",FUEL QTY UNKNOWN
ISSUE: DEPARTING LAS VEGAS PILOT NOTICED AT 8000? THAT THE PLANE WASN?T AUTO PRESSURING. CREW RECYCLED THE PACKS TWICE AND IT DID NOT FIX THE ISSUE. CREW RAN THE QRH AND STARTED TO MANUALLY PRESSURIZE THE AIRPLANE. EVERYTHING WORKED NORMALLY UNTIL THEY GOT TO 29000? AND THE CABIN ALTITUDE SHOT UP FROM 8000? TO 11800? IN ABOUT 30 SECONDS. THE DELTA P STAYED AT APPROXIMATELY 5.2.  PILOT TURNED THE MANUAL PRESSURE DIAL TO THE 2 O?CLOCK POSITION AND HE STILL COULDN?T CLIMB THE CABIN. HE ASKED FOR LOWER ALT AND TIME TO TROUBLESHOOT THE PROBLEM BUT ATC TURNED THEM BACK TO VEGAS. CORR ACTION: INSTALLED SERVICABLE CABIN PRESSURE ACQUISITION MODULE FROM N246JX IN REF TO EMB-135 AMM 21-32-01 ND AP4134059 ACCOMPLISHED OPS,CABIN PRESSURE FAULTED
"DISC: PILOT REPORTED EICAS MESSAGES  AIR/GROUND FAIL, SPOILER FAIL AND ENG 1-2 REVERSE DISAGREE.  GEAR WAS UP WHEN MESSAGES APPEARED.  MESSAGES STAYED ILLUMINATED UNTIL 200 FEET AGL ABOVE THE LANDING RUNWAY WHEN THEY EXTINGUISHED.CORRECTIVE ACTION: PERFORMED EMB 135 FIM TASK 32-63-00-810-804-A;  SUBTASK 817-011-A, VERIFIED LANDING GEAR SERVICING AND ADJUSTED IN REF TO EMB 32-10-02; SUBTASK 817-019-A, FOUND NLG DOWNLOCK PROX SWITCHES OUT OF ADJUSTMENT AND BOTH MLG WOW PROX SWITCHES OUT OF ADJUSTMENT. COMPLIED WITH ADJUSTMENT CHECKS IN REF TO EMB 135 MM 32-63-01; COMPLIED WITH BLOCK 11, REPLACEMENT OF LEGU REFERENCE SNAG 7JX-210628-556; ALL OPERATION CHECKS GOOD IN REF TO EMB 135 MM 32-30-00; AIRCRAFT REQUIRE",MAIN LANDING GR OUT OF ADJUST
"RTF DUE TO BLD 1 LK(PACK 2 WAS ALREADY ON MEL) DISC: BLD 1 LEAK MESSAGE CORR ACTION: FOUND O-RING IN JOINTS 9, 15,17,19 BROKEN REMOVED AND REPLACED O-RINGS COMPLETED BLEED LEAK OPS CHECK GOOD",BLEED SYS DAMAGED
"RETURN FLIGHT-ISSUE: DURING CLIMB WAS REPORTED PAX HAD NO AC CREW OBSERVED CABIN TEMP 86F RETURNED TO FIELD. CORR ACTION: TROUBLESHOT SYSTEM AND FOUND THE GASPER FAN CIRCUIT BREAKERS NOT SEATED FULLY. RESET CB AND CYCLED SYSTEM POWER. PERFORMED OPERATIONAL CHECK OPS CHECKS GOOD, NO DEFECTS NOTED AT THIS TIME.",CABIN TEMP NOT SEATED
"CREW RTF BACK TO LAS DUE TO AN UNUSUAL WIND SOUND BUT EVERYTHING WAS WORKING NORMALLY.  AIRCRAFT WAS PRESSURIZING BUT CABIN ALT STOPPED AT APPROXIMATELY 1500? AND THEN PRESSURE CONTINUED TO GO UP, REACHING AROUND 5PSI.  BETWEEN 15000 AND 19000 FEET PRESSURE STARTED CLIMBING QUICKLY BUT CABIN ALT REMAINED AROUND 1500?.  WE LEVELED OFF AND CONTACTED CLEARANCE FOR RETURN AT WHICH TIME CABIN PRESSURE WAS AT 7.6 AND ALT SHOWED ZERO.  AS WE STARTED TO DESCEND TO 15000? CABIN PRESS CLIMBED TO 8.0 PSI, WITH ALT BLANKED, AND RATE WAS ALL OVER THE PLACE BETWEEN 3200 DOWN AND 1900 UP.  TRIED SECURING A PACKS BUT DIDN?T DO MUCH TO RATE.  TURNED PACKS BACK ON AND TRIED IN MANUAL WITH THE SAME RESULT.  PASSING 13000? TURNED ",CABIN PRESSURE FAULTED
"HAD AN INITIAL BLEED 2 LEAK FOLLOWED BY PACK 1 OVERHEAT AND SUBSEQUENT SMOKE IN COCKPIT WHICH CLEARED AFTER A COUPLE MINUTES. PRESSURIZATION ISSUE WAS DUE TO NO PACKS. ADDITIONALLY, CAPTAIN'S O2 MASK MIC INOPERATIVE.   PRIOR TO DEPARTURE PERFORMED ENGINE RUNS WITH CREW USING BLEED SYSTEMS AND PACKS, NO SMOKE NOTED THROUGHOUT THE COCKPIT OR CABIN.  NOTED BLD 2 LEAK MESSAGE WITH APU OPERATING, DEFERRED APU. PACK 1 ACM DISCOVERED FROZEN SO DEFERRED PACK 1. O2 MASK MIC INOP REPAIRED BROKEN WIRE OPS TESTED GOOD. FLEW AIRCRAFT BACK TO DAL NO ISSUES.",MICROPHONE BROKEN
ISSUE: PACK 1 OVERHEAT AND PACK 2 FAIL MESSAGES ON CLIMB OUT CREW DECLARED AN EMERGENCY AND RETURNED.   PACK 1 OVERHEAT RAN FIM CLEANED AND CHECKED CONTINUITY AT P0944 & P0454 NO DEFECTS. PACK 2 FAIL CLEANED AND RESEATED PACK VALVE CONNECTOR COULDN'T DUPLICATE PACK 2 FAIL OPS TESTED GOOD.,A/C PACK NR 2 DIRTY
ISSUE: PACK 1-2 VALVE CLOSED MESSAGE AND PACK 2 WAS ALREADY DEFERRED RESULTED IN PRESSURIZATION ISSUES. CREW RETURNED TO BURBANK. CORR ACTION PACK1 DISCOVERED BLOWN OFF DUCT AND SLEEVE REINSTALLED OPS/LK CHECK GOOD. PACK2 DISCOVERED BLOWN OFF DUCT AND SLEEVE REINSTALLED OPS/LK CHECK GOOD. (HAS FLOWN 7 LEGS SINCE NO ISSUES),NR 1 A/C PACK BLOWN
CABIN CREW NOTED OIL/SMOKE SMELL IN CABIN ON SHORT FINAL; FLIGHT CREW NOTED PACK 1/BLD 1 VLV FAILS ON EICAS AND CREW DECLARED AN EMERGENCY LANDED NO FURTHER OCCURRENCES. TROUBLESHOT TO SEIZED AIR CYCLE MACHINE. DEFERRED THE PACK 1 SYSTEM AND OPS TESTED BLEED 1 SYSTEM WHICH OPS TESTED GOOD.,NR 1 SEIZED
"ISSUE: LANDING GEAR LEVER DISAGREE MESSAGE AFTER TAKEOFF AND LANDING GEAR WOULDN'T RETRACT. EMERGENCY DECLARED BY BUR TOWER AIRCRAFT RETURNED TO BURBANK WITHOUT FURTHER INCIDENT. CORR ACTION: FERRIED TO LAS; LAS MX TEAM DUPLICATED DISCREPANCY AFTER JACKING/SWINGING GEAR.  REPLACED LDG GEAR HANDLE, ALL OP CHECKS GOOD.",ZONE 700 FAILED
"ISSUE- CREW REPORTED DURING CLIMB OUT THAT THEY LOST FO PFD, AND MFD; FOLLOWED BY LOSS OF CA PFD, MFD AND EICAS DISPLAY. FO PFD, MFD, AND EICAS RETURNED. CA SIDE DID NOT RETURN. MESSAGES CHK IC CONFIG, YAW DAMPER FAIL, IC 1 CONFIG FAIL. CORR ACTION-TROUBLESHOT TO BAD #2 IC600, R&R'D IC600 ALL OPS TESTS GOOD.",ZONE 100 FAULTY
"ISSUE-CREW REPORTED ENGINE 2 ITT WENT TO RED LIMIT RIGHT AFTER V1 ON TAKEOFF ROTATION, AFTER ACCELERATION ALTITUDE REDUCED THE POWER AND DIVERTED BACK TO KBUR, AND EVEN AFTER LANDING ITT SHOWS 720 ON ENGINES IDLE. AMT'S DISCOVERED DISCHARGE TUBE ASSY BROKEN OFF. AND INBOARD INNER CORE COW DELAMINATED AND DAMAGED. ENGINE REQUIRES OFF WING REPAIR AND WILL BE REPLACED.",ZONE 400 BROKEN
"162AL WAS ON A NON-REVENUE REPOSITIONING FLIGHT FROM BZN TO MSO FOR TRAINING, ONE CREW ON BOARD (PILOT), NO PASSENGERS. THE PILOT NOTICED #1 ENGINE INSTRUMENTS INDICATED A ROLL BACK ON SHORT FINAL AFTER EXITING ICING CONDITIONS, THE PILOT LANDED STRAIGHT AHEAD WITHOUT INCIDENT. ALL AIRCRAFT SYSTEMS FOUND OPERATIONAL AFTER MAINTENANCE INSPECTION AND MAINTENANCE TEST FLIGHT. FLAME OUT SUSPECTED DUE TO ICE INGESTION.",NR 1 FLAMED OUT
IN CRUISE NOTICED SMOKE IN CABIN WITH PLASTIC SMELL. MAINTENANCE DISCOVERED AIR CONDITIONER COMPRESSOR TO BE SOURCE.,A/C PACK SMOKE
"DURING TAKEOFF CLIMB OUT OF FLYING CLOUD AIRPORT (FCM), THE FLIGHT CREW HEARD A METAL GRINDING NOISE FOLLOWED BY HIGH INLET TURBINE TEMPERATURE (ITT) INDICATION AND A OIL FILTER BYPASS INDICATION FOR THE RIGHT ENGINE. FLIGHT CREW ELECTED TO SHUT RIGHT HAND ENGINE DOWN AND MAKE AN EMERGENCY LANDING AT MINNEAPOLIS-SAINT PAUL INTERNATIONAL AIRPORT KMSP.  THE FAILED ENGINE WAS REMOVED FROM THE AIRCRAFT AND WILL BE SENT TO WILLIAMS INTERNATIONAL FOR EXAMINATION AND OVERHAUL.",RIGHT FAILED
"WHILE PERFORMING FUNCTIONAL CHECK OF THE EMERGENCY LIGHTING SYSTEM BATTERY PACKS, THE AFT RH EMERGENCY LIGHT BATTERY PACK FAILED.  R & R BATTERY PACK.",EMERGENCY LIGHTS DISCHARGED
EMERGENCY BATTERY PACK DEPLETED.  AIRCRAFT HAD BEEN SITTING FOR SEVERAL MONTHS DURING MAINTENANCE WITH NO POWER APPLIED.,ZONE 200 DEPLETED
EMERGENCY BATTERY PACK DEPLETED.  AIRCRAFT HAD BEEN SITTING FOR SEVERAL MONTHS DURING MAINTENANCE WITH NO POWER APPLIED.,ZONE 100 DEPLETED
EMERGENCY BATTERY PACK DEPLETED.  AIRCRAFT HAD BEEN SITTING FOR SEVERAL MONTHS DURING MAINTENANCE WITH NO POWER APPLIED.,ZONE 200 DEPLETED
"AFTER TAKEOFF FROM KOPF,WHILE CLIMBING THROUGH FLIGHT LEVEL 15000, RIGHT HAND ENGINE N2 BEGAN SURGING. THROTTLE WAS BROUGHT BACK TO IDLE AND ENGINE STABILIZED. AFTER APPROXIMATELY 20 MINUTES WHILE IN A HOLDING PATTERN, RH ENGINE N2 AGAIN BEGAN SURGING. LANDED IMMEDIATELY WITHOUT INCIDENT INTO KPIE.",RIGHT SURGES
SMOKE DETECTED COMING FROM CAPTAIN A SCREEN AT CRUISE ALTITUDE. CORRECTIVE ACTION: INSPECTED A SCREEN AND SURROUNDING WIRING. INSPECTED INSTRUMENT PANEL AND AVIONICS FANS. NO EVIDENCE OF ELECTRICAL DISCREPANCIES FOUND. PERFROMED OPERATIONAL CHECKS OF AVIONICS SYSTEMS  AND WINDSHIELD HEAT. ALL OPERATIONAL CHECKS SATISFACTORY AT THIS TIME. PERFORMED OPERATIONAL CHECK FLIGHT. NO DISCREPANCIES NOTED.,COCKPIT SMOKE
